kanji	on	kun	en	bg
舃	しゃく さく せき たく	かささぎ	Shoe | Sole Of A Shoe | Magpie	обувка | ходило на обувка | сврака
舄	しゃく さく せき たく	かささぎ	A Shoe | The Sole Of A Shoe | Magpie	обувка | ходило на обувка | сврака
舅	きゅう	しゅうと	Father-in-law	тъст | свекър
與	よ	あた.える あずか.る くみ.する ともに	Participate In | Give | Award | Impart | Provide | Cause	участвам | давам | награждавам | предавам | предоставям
舉	きょ	あ.げる あ.がる こぞ.る	Raise | Plan | Project | Behavior | Actions	вдигам | план | проект | поведение | действия
舊	きゅう	ふる.い もと	Old Things | Old Friend | Old Times | Former | Ex-	стари неща | стар приятел | отминали времена | бивш
舍	せき しゃ	やど.る	Inn | Hut | House | Mansion	хан | колиба | къща | имение
舐	し	ねぶ.る な.める	Lick | Lap Up | Burn Up | Taste | Undergo | Underrate | Despise	облизвам | полизвам | вкусвам | подценявам | презирам
舒	じょ しょ	の.べる	Stretch | Loosen | Open | Relax | Mention	протягам | разхлабвам | отварям | отпускам се
舓	し	ねぶ.る な.める	To Lick | To Lap Up | To Burn Up | To Taste | To Undergo | To Underrate | To Despise	облизвам | полизвам | вкусвам | подценявам | презирам
舔	てん	な.める	Lick With Tongue | Taste	облизвам с език | вкусвам
舖	ほ		Shop | Store	магазин
舚	てん		To Put Out The Tongue	изплезвам език
舝	かつ げち	くさび	Linch-pin	шплент на ос | чека
舡	こう せん	ふね	Boat | Ship	лодка | кораб
舢	さん		Sampan	сампан (лодка)
舨	はん		Sampan	сампан (лодка)
舫	ほう	もや.う もやいぶね	Moor | Berth	акостирам | привързвам лодка
舮	ろ	とも へさき	Bow Or Prow Of Boat	нос на лодка
舲	れい りょう	こぶね	Small Boat With Windows | Houseboat	малка лодка с прозорци | лодка-къща
舳	じく ちく ちゅう	へ へさき とも	Bow | Prow	нос на кораб
舸	か	ふね	Large Boat	голяма лодка
舺	こう ぎょう	ふね	Place Name In Taiwan | Taipei	Тайпе | име на място в Тайван
艀	ふ	はしけ	Sampan | Lighter | Barge	сампан | лихтер | шлеп
艄	そう しょう	とも	Stern Of A Vessel	кърма на кораб
艅	よ		Despatch Boat	куриерска лодка
艋	ぼう もう みょう	ふね	Small Boat	малка лодка
艎	こう おう	ふね	Fast Boat	бърза лодка
艑	へん		Small Boat	малка лодка
艖	さ しゃ さい せ	こぶね ふね	Raft | Boat	сал | лодка
艗			Bow Of Junk	нос на джонка
艘	しょう しゅう そう	ふね	Counter For Small Boats	брояч за малки лодки
艙	そう		Hold (ship)	трюм
艚	そう		Boat	лодка
艜	たい		Long Narrow Vessel With Two Masts	дълъг тесен съд с две мачти
艝		そり	Sled | Sleigh | (kokuji)	шейна
艟	どう しょう とう	いくさぶね	Fighting Ship	боен кораб
艢	ろ しょう ぞう	とも ほばしら	Bow | Stern	нос | кърма
艣	ろ	やぐら かい	Stern Oar | Scull	кърмово весло | гребло
艤	ぎ	ふなよそおい	Landing A Boat	приставане на лодка
艨	もう ぼう	いくさぶね	Fighting Ship	боен кораб
艪	ろ	やぐら かい	Oar | Tower	весло | кула
艫	ろ	とも へさき	Bow | Prow | Stern	нос | кърма
艭	そう		Ship	кораб
艮	こん ごん	うしとら	Northeast (oriental Zodiac) | Stopping | Good Radical (no. 138)	североизток | спиране
艱	かん けん	なや.む かた.い なや.み	Difficult | Trying | Be Distressed | Parent's Funeral Ceremony | Mourning | Perilous	труден | изпитание | страдам | погребение на родител | траур
艴	ほつ ふつ ふち はい	おこ.る	The Countenance Changing	промяна на изражението (от гняв)
艷	えん	つや なま.めかしい あで.やか つや.めく なま.めく	Luster | Glaze | Polish | Charm | Colorful | Captivating	блясък | глазура | полирам | чар | пленителен
艸	そう	くさ	Grass | Plants | Grass Radical (no. 140)	трева | растения
艹			Grass | Radical Number 140	трева
艾	かい げい	もぐさ よもぎ おさ.める か.る	Moxa | Sagebrush | Wormwood | Mugwort	мокса | пелин | обикновен пелин
芃	ほう ぶ ふう	さかん	Luxuriant Growth	буен растеж
芊	せん	しげ.る	Exuberant And Vigorous Foliage	буйна зеленина
芍	しゃく		Peony	божур
芎	きゅう く		Kind Of Herb	вид билка
芑	き	ちさ	White Millet	бяло просо
芒	ぼう こう もう	すすき のぎ のげ	Pampas Grass | Beard (grain)	пампасова трева | остен на класче
芔	き け	くさ	General Term For Plants	общо название за растения
芚	とん ちゅん		Green Sprout | Foolish	зелен кълн | глупав
芟	せん さん	か.る	Cut | Clip | Trim | Harvest | Mow	режа | подрязвам | окосявам | жъна
芡	けん		Plant Allied To The Water-lily	растение сродно на водната лилия
芣	ふう ふ	さかん	Medicinal Plantago	лечебен живовляк
芧	ちょ しょ よ	みくり	Chestnut Oak	кестенов дъб
芨	きゅう こう	そくず	Name Of A Plant | The Roots Are Used For Various Purposes	вид растение с полезни корени
芩	きん ごん けん	じしばり	Salt Marsh Plant	растение от солен блатист терен
芪	き し ち	はなすげ	Celery	целина
芫	げん がん		Type Of Vetch	вид бакла
芬	ふん	かおり こうば.しい	Perfume	аромат | парфюм
芮	ぜい ねい ぜつ ねち		Tiny | Small | Water's Edge	мъничък | малък | брега на вода
芰	き	ひし	Water Caltrop	воден кестен (растение)
芷	し	くさ	Angelica | Type Of Iris	ангелика | вид перуника
芻	すう しゅう す	まぐさ	Grass Cutting | Hay	сено | фураж
芼	ぼう もう	はびこ.る	To Choose | To Select | Greens	избирам | подбирам | зеленчуци
芾	ひ はい ふつ ふち		Flower | Small | Little | Lush	цвете | малък | буен
芿	じょう にょう		Grass Which Has Been Cut And Re-grown | Wild Grass	прекосена и отново поникнала трева? | дива трева
苐	てい だい い	つばな	Sequence | Number | Grade | Degree	ред | номер | степен
苒	ぜん		Flourishing | Luxuriant	буен | разкошен
苓	れい りょう	みみなぐさ	Plant | Herb | Mushroom	растение | билка | гъба
苔	たい	こけ こけら	Moss | Lichen	мъх | лишей
苕	ちょう しょう	えんどう	Rush Plant	тръстикоподобно растение?
苙	りゅう きゅう		Type Of Herb | Pigsty	вид билка? | кочина
苜	もく ぼく		Clover | Medic	детелина | люцерна
苞	ほう ひょう	つと	Husk | Bract | Straw Wrapper | Souvenir Gift | Bribe	обвивка (на растение) | сламена опаковка | подарък сувенир | подкуп
苟	こう く	いやしく.も	Any | At All | In The Least	какъвто и да е | изобщо | поне
苡	い し わ	くさ	Adlay | Plantain	адлай? | живовляк
苢	い し わ	くさ	Barley | Coix Agretis	ечемик | коикс?
苣	きょ	ちしゃ	Torch	факла
苧	ちょ	お からんし からむし	Hemp | Flax	коноп | лен
苪	へい ひょう	あき.らか	Bright | Shining | Splendid	светъл | блестящ | великолепен
苯	ほん		Benzene | Luxuriant	бензен | буен
苳	とう	ふき	Butterbur | Bog Rhubarb	фуки (растение)? | блатен ревен?
苴	そ さ しゃ しょ	つと あさ	Husk | Bract | Straw Wrapper | Souvenir Gift | Bribe	обвивка (на растение) | сламена опаковка | подарък сувенир | подкуп
苶	でつ ねち じょう にょう	つか.れる	Weary | Tired	уморен | изтощен
苷	かん こん		Licorice	женско биле
苹	へい びょう ほう	ほ	Duckweed | Mugwort	воден лещник? | пелин
苺	ばい まい	いちご	Strawberry	ягода
苻	ふ		Kudzu-like Plant	растение, подобно на кудзу?
苽	こ	こも まこも	Bullrush | Zizania Latifolia	папур | дива ориз трева?
苾	ひつ びち へつ	かお.る	Smell | Fragrance | Aroma	мирис | аромат
茀	ふつ ぶち ほつ ぼち ひ	ふさ.ぐ	Overgrown With Grass | Weedy	обрасъл с трева | плевелив
茁	さつ せち きつ きち	めば.え	Sprout | Flourish | Vigorous	кълн | процъфтявам | буен
范	はん	いがた	Bee | Law | Casting Mould	пчела | закон | калъп за отливане
茆	えん ぼう	その かや ぬなわ	Garden | Farm | Yard	градина | ферма | двор
茇	はつ ばち はい ふつ ふち	ね	Grass | Thatch	трева | слама за покрив
茈	し さい じゅ	むらさき	Plant Yielding A Red Dye	растение за червена боя?
茖	かく		Mountain Leek | Garlic	планински лук | чесън
茘	れい り れん	おおにら	Scallion | Small Onion	малко кромидче | лук резене
茞	しん		Fragrant Plant | Angelica	ароматно растение | девесил
茢	れつ れち れい	あしのほ	Sedges | Rushes	острица | тръстика
茣	ご		Mat | Matting	рогозка | постелка
茫	ぼう	とお.い	Wide | Extensive	широк | обширен
茬	し	しげ.る	Harvest	жетва
茭	けき きゃく こう きょう	まぐさ	An Aquatic Grass | The Stalks Of Which Are Eaten As A Vegetable	водна трева? | стъбла, ядени като зеленчук?
茯	ふく ぶく ひ び		Type Of Mushroom	вид лечебна гъба (пория)?
茱	しゅ		River Ginger Tree | Oleaster	дива маслина (елеагнус)?
茲	し じ	ここ.に し.げる	Here	тук
茴	うい かい		Fennel	резене
茵	いん	しとね	Cushion | Mattress	възглавница | дюшек
茷	はい ひつ ほち	しげ.る	Flutter | Flower	трептя | цвете
茸	じょう にゅ	きのこ たけ しげ.る	Mushroom	гъба
茹	じょ にょ	ゆ.でる う.でる	Boil | Seethe	варя | кипя
荀	じゅん しゅん		Type Of Plant | Proper Name	вид растение?
荃	せん そん せつ せち さつ	からしあえ	Aromatic Herb | Fine Cloth	ароматна билка | фин плат
荄	かい	ね	Roots	корени
荅	とう	あずき こた.える	Adzuki Beans | Thick	адзуки боб | дебел
荇	こう ぎょう	はなじゅんさい	Water Plant | Nymphoides Peltalum	водно растение | нимфоидес?
荊	けい	いばら	Thorn | Brier | Whip	трън | къпина | камшик
荍	きょう しゅう しゅ	ぜにあおい	Buckwheat | Herbal Medicine	елда | билково лекарство
荐	せん	しきりに	Mat | Repeatedly	рогозка | многократно
荑	てい だい い	つばな	Sprouts | Tares	кълнове | плевели
荔	れい り れん	おおにら	Lychee	личи
荣			Glory | Honor | Flourish | Prosper	слава | чест | разцвет | просперитет
荳	とう ず	まめ	Bean | Nutmeg	боб | мускатово орехче
荵	にん じん	しのぶ	Hare's Foot Fern	папрат заешка лапа?
荸	ほつ ぼち		Water Chestnut	воден кестен
荼	た ず と だ	にがな	A Weed	плевел
荽	い すい に		Coriander	кориандър
莀	しん どう のう		To Farm | Farmer | Agriculture	земеделие | земеделец
莅	り れい	るい のぞ.む つ.く	Proceed To | Assume A Post	явявам се | встъпвам в длъжност
莆	ふ ほ		Kind Of Legendary Tree	легендарно дърво?
莇	じょ	あさがら	Chinese Matrimony Vine | Tilling Public Fields | Corvee | Surname	годжи бери (лоза)? | обработване на общински земи? | трудова повинност?
莊	そう しょう ちゃん	ほうき おごそ.か	Broom	метла
莎	さ しゃ	はますげ	Sedge	острица
莒	きょ こ	いも	Hemp-like Plant | Taro | Herb	коноповидно растение? | таро | билка
莓	ばい まい	いちご	Wild Strawberry	дива ягода
莖	けい きょう	くき	Stem | Stalk	стъбло
莘	しん		Long | Numerous | Marsh Plant Whose Root Is Used For Medicine	дълъг | многоброен | блатно растение с лечебен корен?
莙	きん くん うん	も	Species Of Water Plant	вид водно растение?
莚	えん	むしろ	Straw Mat	сламена рогозка
莛	てい じょう	くき	Stalks Of Grasses, Etc.	стъбла на треви
莜	てき じゅく ちょう じょう	くさとり	Avena Nuda	гол овес?
莝	さ	きりわら	To Chop Straw Fine For Animals	нарязвам слама за фураж?
莟	がん かん	つぼみ	Bud (plant)	пъпка (на растение)
莠	ゆう	はぐさ	Appears Good But Is Bad | Type Of Weed Which Resembles Rice	привидно добър, но лош | плевел, приличащ на ориз
莢	きょう	さや	Pod | Hull | Husk | Shell | Case	шушулка | люспа | обвивка
莧	かん けん	ひゆ	Edible Greens | Amaranth	ядивна зеленина | амарант
莨	ろう	たばこ	Tobacco	тютюн
莩	ふ ひょう		Membrane Lining Inside Reed | Very Thin	ципа вътре в тръстика? | много тънък
莪	が		Type Of Thistle	вид магарешки бодил?
莫	ばく ぼ まく も ない	くれ なか.れ なし	Must Not | Do Not | Be Not	не бива | недей | не
莱	らい り	あかざ あわち こうがい	Goosefoot | Pigweed	лобода
莵	と つ	うさぎ	Dodder (plant)	повитица (растение)
莽	ぼう もう	くさ	Grass | Grassy Field	трева | тревисто поле
莿	し せき しゃく	とげ	Thorn	трън
菀	えん おん うつ うち うん	その つ.む	Luxuriance Of Growth	буен растеж
菁	せい しょう		Turnip	ряпа
菇	こ く	からすうり	Mushrooms	гъби
菉	りょく ろく	かりやす	The Green Bamboo | Greenish Bamboo	зелен бамбук
菎	こん		A Kind Of Fragrant Herb	ароматна билка?
菏	か	くさ	River In Shandong Province	река в провинция Шандун
菑	し さい	あれち	To Weed Grass | Land Under Cultivation	плевя трева | обработваема земя
菔	ほく ふく	だいこん	Turnip	ряпа | дайкон
菘	すう しゅう		Type Of Rape Plant	вид рапица
菟	と つ	うさぎ	Dodder (plant)	повитица (растение) | заек
菠	は ほ	ほうれんそう	Spinach	спанак
菡			Buds | Lotus Buds	пъпка | пъпка на лотос
菰	こ	こも まこも	Reed Used For Matting	тръстика за рогозки
菲	ひ	うす.い	Thin | Inferior	тънък | долнокачествен
菴	あん	いおり いお	Hermitage	скит | усамотена колиба
菶	ほう ふ ぼ		Species Of Water Plant | Flower	вид водно растение | цвете
菷	しゅう そう	ほうき	Broom	метла
菸	えん よ おん		Smoke | Soot | Tobacco | Cigarettes	дим | сажди | тютюн | цигари
菹	しょ しゃ	つけもの	Salted Or Pickled Vegetables	туршия
菻	りん		Kind Of Thistle	вид магарешки бодил
菼	たん	おぎ	Rush Or Sedge	тръстика | острица
菽	しゅく	まめ	Beans	боб
萁	き かい	まめがら	Kind Of Grasses | Bean Stocks & Pods	вид треви | бобени стъбла и шушулки
萃	すい さい	あつ.まる	Collect | Gather | Assemble	събирам | събирам се
萄	どう とう		Grape Vine | Wild Grape	грозде
萆	ひ へい はつ ばち		The Castor-oil Plant (also Used For Other Plants)	рицин (растение)
萇	ちょう		Type Of Plant	вид растение
萊	らい り	あかざ あれわ こうがい	Goosefoot | Weed | Fallow Field	лобода | плевел | угар
萋	せい さい		Luxuriant Growth | Beautiful	буен растеж | красив
萍	へい ひょう	うきくさ	Floating Plants	водна леща
萑	かん すい	おぎ	Grass Used For Making Mats | Huanpu | Place Famous For Robbers	трева за рогозки
萓	ぎ		Day Lily	хемерокалис (лилия)
萕	せい ざい	ひと.しい ととの.える なづな	Water-chestnuts | Caltrop	воден кестен
萠	ほう	も.える きざ.す めばえ きざ.し	Show Symptoms Of | Sprout | Bud | Malt	покълвам | пъпка | малц
萢		やち やら	Bog | Wetlands | Used In Proper Names | (kokuji)	блато | мочурище
萪	か		Type Of Wisteria	вид глициния
萵	わ		Lettuce	маруля
萸	ゆ		Oleaster | River Ginger Tree	дива маслина (лох)
萹	へん	にわやなぎ	Grass	трева
萼	がく	うてな	Calyx | Cup	чашка (на цвете)
葆	ほう ほ	し.げる	Dense Growth | Keep | Adhere To | Conceal	буен растеж | запазвам | придържам се | скривам
葊	あん	いおり いお	Cottage	колиба
葍	ふく	ひるがお	Plant	поветица (растение)
葎	りつ	むぐら	Creepers | Trailing Plants | Vines	пълзящи растения
葑	ほう ふ ふう	かぶら	The Rape-turnip	ряпа-рапица
葒	こう ぐ	おおたで	Herb	билка
葚	ちん しん	さわら あてぎ くわのみ	Mulberry Fruit	черница (плод)
葜	かつ	くさ	Smilax China	смилакс (растение)
葠	しん せん	にんじん ちょうせんにんじん	Ginseng	женшен
葡	ぶ ほ		Wild Grape | Portugal	грозде | Португалия
葢	がい かい こう	ふた けだ.し おお.う かさ かこう	Cover | Lid | Flap	капак | похлупак | клапа
董	とう	ただ.す	Correct	поправям | коригирам
葩	は	はな	Flower | Petal	цвете | листенце
葫	こ		Garlic	чесън
葭	か	よし あし	Reed	тръстика
葮	だん たん	むくげ	Rose Of Sharon | Althea	хибискус
葯	やく		Pollen Pod At Tip Of Stamen | Type Of Tall Grass	прашник | висока трева
葱	そう	ねぎ	Stone Leek | Welsh Onion	лук батун
葳	い		Luxuriant | Flourishing | Used For Various Plants	буен | разцъфтял
葷	くん		Garlic	чесън и остри зеленчуци
葸	さい し	よい	Afraid | Bashful	страхлив | срамежлив
葹	し	おなもみ	Cocklebur	репей (растение)
葺	しゅう	あし ふ.く ふき	Thatch | Cover | Shingle | Tile	покривам покрив | слама за покрив | керемида
葽	よう		Type Of Grain | Polygala Japonica	вид зърнена култура | полигала
蒂	てい たい	へた	Peduncle | Stem Of Plants	дръжка на плод
蒄	かん		Type Of Plant	вид растение
蒐	しゅう	あかね あつ.まる あつ.める	Gather	събирам
蒓	しゅん	ぬなわ	An Edible Water | Plant-brasenia	водна пъпка (бразения)
蒜	さん	にんにく ひる のびる	Garlic	чесън
蒞	り れい るい	のぞ.む つ.く	Reach | Arrive | Manage	пристигам | управлявам
蒟	こん く		Devil's Tongue (plant)	аморфофалус (дяволски език)
蒡	ぼう ほう		Burdock	репей
蒦	わく きゃく かく やく	はかり ものさし のり	To Measure | To Calculate	меря | изчислявам
蒨	せん	あかね	Lush Vegetation | Luxuriant Growth	буйна растителност
蒭	しゅう す すう	まぐさ	To Cut Grass | Hay | Fodder	сено | фураж
蒯	かい け		Rush, Of Which Various Things Are Made	острица (растение)
蒱	ほ ぶ		Gambling Game With Dice	хазартна игра със зарове
蒴	さく	そくず	(seed) Capsule	семенна кутийка
蒹	けん	おぎ	Type Of Reed	тръстика
蒺	しつ じち しょく じ き	はまびし	Furze | Gorse	прещип
蒻	じゃく にゃく		A Kind Of Water Plant	вид водно растение
蒽	おん		Anthracene	антрацен
蒿	こう	よもぎ	Mugwort	пелин
蓀	そん		Aromatic Grass | Iris | Flower	ароматна трева | перуника
蓁	しん		Dense Growth | Thicket	гъсталак
蓂	べい めい みょう べき		Lucky Place	щастливо място?
蓆	せき	むしろ	Straw Mat | Matting	сламена рогозка
蓇	こつ こち		Follicles Of Plants	мехунка (плод)
蓊	おう	とう	Flower Stalk | Vigorous Growth	стрък на цвете | буен растеж
蓌	さ しゃ さい すい	いつわ.る	Pretend | Crouch	преструвам се | прикляквам
蓍	し	めどぎ	Yarrow | Sericea | Stalks Used For Divination	бял равнец | стъбла за гадаене
蓏	ら	うり くさのみ	Fruit Growing On Low Plants | Melon	плод на пълзящо растение | пъпеш
蓐	じょく にく	しとね	Bed	легло
蓑	さ さい	みの	Straw Raincoat	сламен дъждобран
蓓	はい	つぼみ	Bud	пъпка
蓖	ひ へい		Castor-oil Plant	рицин
蓙	ざ	ござ	Mat | Matting | (kokuji)	рогозка
蓚	しゅう		(used Only In Compounds)	среща се само в съставни думи (оксалова киселина)?
蓧	ちょう しょう	しの	Bamboo Basket | Weeder | Rake	бамбукова кошница | плевачка | гребло
蓪	とう つ	あけび	Paper-plant | Aralia Papyrifera	хартиено растение (аралия)
蓬	ほう ぶ	よもぎ	Sagebrush | Wormwood | Mugwort	пелин
蓯	そう す しょう しゅ	かぶら	Medicinal Herb	лечебна билка
蓰	し		To Increase Five-fold	увеличавам пет пъти
蓴	しゅん	ぬなわ	Type Of Water Plant	вид водно растение
蓷	たい つい すい	めはじき	Leon Urus Sibiriacus | Mother War	леонурус (билка)?
蓺	げい		Art | Talent | Ability | Craft	изкуство | талант | умение | занаят
蓽	ひつ ひち	まめ	Species Of Bean | Piper Longtum	вид боб | дълъг пипер
蓿	しゅく		Clover | Medic	люцерна | детелина
蔀	ほう だ だん ぶ	しとみ	Latticed Shutters	решетъчни капаци | дъсчени щори
蔂	るい ら らい	もっこ	Basket	кошница
蔆	りょう	ひし	Water Chestnut	воден кестен
蔇	き きけ		Luxuriant Growth | Extreme | Reach	буен растеж | краен предел | достигам
蔌	そく そう す	な やさい	Vegetables	зеленчуци
蔓	まん ばん	はびこ.る つる	Vine | Tendril | Influence | Connections | Good Offices | Spread | Sprawl | Thrive | Rampant | Powerful	лоза | увивно стъбло | връзки, влияние | разпространявам се | бруйно раста
蔔	ふく ほく		Giant Radish | Daikon	дайкон | голяма ряпа
蔕	てい たい	へた	Calyx | Stem	чашка (на цвят) | дръжка (на плод)
蔗	しゃ しょ	さとうきび	Sugar Cane	захарна тръстика
蔘	しん さん		Luxurious Growth Of Grass	буен растеж на трева
蔚	うつ い	うち おとこよもぎ	Dense Growth	гъст растеж
蔛			A Small Orchid-like Plant It Bears White Flowers A Dendrobium	малко орхидеевидно растение с бели цветове?
蔞	ろう る りゅう く	よもぎ	Artemisia Stelleriana	вид пелин?
蔟	ぞく そう	まぶし	Gather Together	събирам се накуп
蔣	しょう そう	まこも はげ.ます	Surname | Hydropyrum Latifalium	фамилно име | вид дива ориз
蔥	そう	ねぎ	Scallions | Onions | Leeks	лук | праз
蔫	えん おん	しぼ.む	Withered | Faded | Decayed | Calm	повехнал | увяхнал | спокоен
蔬	そ しょ	あおもの	Greens | Vegetables	зеленчуци
蔯	ちん じん	かわらよもぎ	Variety Of Artemisia	вид пелин
蔲	こう く		Nutmeg	мускатово орехче
蔴	ま まあ	あさ	Hemp | Applied To Other Plants Furnishing Textile Fibres	коноп | влакнести растения
蔾			Kind Of Bramble	вид къпина
蔿	い か け		Surname | Place Name	фамилно име | топоним
蕀	きょく		Milwort	изтравниче (вид растение)
蕁	じん たん		A Kind Of Grass	коприва | вид трева
蕆	てん	いまし.める	Finish | Complete | Solve	завършвам | приключвам | решавам
蕈	じん しん	きのこ たけ	Mushroom | Toadstool | Fungus	гъба | мухоморка
蕊	ずい	しべ	Pistil | Stamen	плодник | тичинка
蕋	ずい	しべ	Pistil | Stamen	плодник | тичинка
蕎	きょう	そば	Buckwheat	елда
蕑	かん げん	ふじばかま	Agueweed | Valeriana Villosa | Climbing Plant	вид блатна трева | валериана | катерещо растение
蕓	うん	あぶらな	Rue | Herb Used Keep Insects Away	седефче (растение против насекоми)
蕕	ゆう ゆ		Foul-smelling Grass	миризлива трева
蕘	じょう	たきぎ きこり	Firewood	дърва за огрев
蕙	けい え	かおりぐさ	Species Of Fragrant Orchid	ароматна орхидея (вид)
蕚	がく	うてな	Calyx | Cup	чашка (на цвят) | купа
蕝	せつ せち せい さい		Handful	шепа
蕞	さい せつ せち		Little | Small | Tiny | Petty	мъничък | дребен | незначителен
蕡	ふん はん ぼん	しげ.る	Hemp Seeds | Plant With Abundant	конопено семе | буен растеж
蕢	かい け き	あ.れる	Edible Amaranth | Straw Basket	ядливо амарантово растение | сламена кошница
蕣	しゅん	むくげ あさがお	Rose Of Sharon | Althea	хибискус (индийска роза) | слез
蕤	に そう しょう すい		Drooping Leaves | Fringe Soft | Delicate	увиснали листа | нежен | деликатен
蕩	とう	とろ.かす とろ.ける うご.く	Melt | Be Charmed | Captivated	топя се | омайвам се | увличам се | разпуснат живот
蕪	ぶ む	かぶ かぶら あれる	Turnip	ряпа
蕭	しょう	よもぎ	A Weed | Mugwort | Lonely | Silent | Calm	пелин | самотен | тих | спокоен
蕷	よ	いも	Yam	ямс
蕹	よう ゆ	あつ.める	Ipomoea Aquatica - Used As A Vegetable	водна спанак (кангконг)
蕾	らい	つぼみ	Bud (plants, Mushrooms Not Yet Opened)	пъпка (на цвете)
薀	うん おん	たくわ.える つ.む	Pile Up | Store | Hornwort	трупам | съхранявам | роголистник
薁	いく おう	にわうめ	Vine	лоза
薅	こう	くきをと.る	To Weed | To Eradicate	плевя | изкоренявам
薆	あい き け	かく.す	To Cover | To Hide | To Conceal	покривам | крия | скривам
薇	ら び	ぜんまい	An Edible Fern	ядлива папрат | роза
薈	かい わい		Luxuriant Vegetation	буйна растителност
薉	わい え	あ.れる	Dirty | Unclean | Immoral | Obscene	мръсен | нечист | неморален | непристоен
薊	けい き かい け	あざみ さく とげ	Thistle	бодил | магарешки трън
薌	きょう こう	こくもつ	Fragrant Smell Of Grain | Aromatic	аромат на зърно | ароматен
薏	よく おく い		Seed Of Job's Tears | Lotus Seed	семе на йов сълзи | семе на лотос
薐	ろう	ほうれんそう	Spinach	спанак
薑	きょう こう	はじかみ	Ginger	джинджифил
薓	しん せん	にんじん ちょうせんにんじん	Ginseng	женшен
薗	えん おん		Garden | Yard | Farm	градина | двор | ферма
薘	たつ だち	おおばこ	Plantago Major	живовляк
薙	てい ち	な.ぐ なぎ か.る	Mow Down (the Enemy)	покосявам (враг)
薛	せつ		Type Of Mugwort	вид пелин
薜	へい		Type Of Vine	вид лоза
薟	れん けん こん	やぶからし	Vine	лоза
薢	かい け		Woody Climbing Plant	дървесно катерещо растение
薤	かい	らっきょう にら	Scallion | Shallot	лук шалот
薧	こう	はかば	Dried Food	сушена храна
薨	こう	こう.じる みまか.る	Die	умирам (за благородник)
薯	しょ	いも	Potato	картоф | сладък картоф
薰	くん	かおる かおりぐさ かおり	A Medicinal Herb | To Cauterize	лечебна билка | каутеризирам
薶	ばい まい り	うず.める	To Bury | To Stop Up | Dirty | Filthy	заравям | запушвам | мръсен | нечист
薸	ひょう	うきぐさ	Duckweed	водна леща
薹	たい	とう あぶらな	Seed Pod	семенна шушулка | стрък на цъфнало растение
薺	せい ざい	ひと ととの.える なずな	Water-chestnuts | Caltrop	воден кестен | троскот
薾	し に でい ない	さ.く	Luxuriant Growth Of Flower	буен цъфтеж на цветя
薿	ぎ ぎょく ごく	しげ.る	Flower	цвете | буен растеж
藇	しょ よ	うつく.しい	Fine	изящен | фин
藉	しゃ せき じゃく	かり.る ふ.む	Carpet | Lend | Borrow | Make Excuses | Spread Out	постилка | заемам, вземам назаем | извинявам се | разстилам
藊	へん	ふじまめ	Kind Of Bean With Flat Pods	вид боб с плоски шушулки
藎	しん	こぶなぐさ	Kind Of Weed | Faithfulness	вид плевел | вярност
藐	びょう ばく	かろ.んじる とお.い	Make Light Of | Far Away | Beautiful	подценявам | далечен | красив
藕	ぐう ぐ ごう	はすのね	Lotus | Lotus Root | Arrowroot	лотос | корен на лотос | аройник
藘	りょ ろ		Madder	брош (растение)
藙			Dogwood	дрян
藚	しょく ぞく	おもだか	Water Plant	водно растение
藜	れい	あかざ	Goosefoot | Wild Spinach	лобода | див спанак
藟	るい ら りゅう	かずら ふじかずら	Vine | Creeper | To Wind	лоза | пълзящо растение | вия се
藥	やく	くすり	Medicine | Chemical | Enamel | Gunpowder | Benefit	лекарство | химикал | глазура | барут
藦	ば ま		Edible Mushrooms	ядливи гъби
藪	そう	やぶ	Thicket | Bush | Underbrush | Grove	гъсталак | храсталак | горичка
藶	れき りゃく		Kind Of Plant	вид растение
藷	しょ じょ	いも	Potato	картоф | сладък картоф
藹	あい		Flourishing | Luxuriant | Harmonize | Graceful | Noble | Refined	буен, разцъфнал | хармоничен | изящен | благороден
藺	りん	い	Rush, Used For Tatami Covers | Surname	тръстика (за татами) | фамилно име
藾	らい		Type Of Mugwort | Cover | Hide	вид пелин | покривам | крия
藿	かく すい		Lophanthus Rugosus | Betony	лечебна билка (вид)
蘀	たく じゃく	おちば	Falling Leaves And Barks	опадали листа и кора
蘂	ずい	しべ	Pistil | Stamen	плодник | тичинка
蘄	き け きん ごん		Variety Of Artemisia Seek	вид пелин?
蘅	こう ぎょう		Fragrant Plant The Root Is Medicinal	ароматно растение с лечебен корен
蘆	ろ	あし よし	Reed | Rush	тръстика | папур
蘊	うん	つ.む	Pile Up	натрупвам
蘋	ひん	うきくさ	Duckweed	водна леща
蘑	ま	ひらたけ	Type Of Edible Mushroom	вид ядлива гъба
蘒	き	は.ぎ	Used In "meiboku Sendaihagi"	храстова леспедеца?
蘓	そ す	よみがえ.る	Be Resurrected | Resuscitated | Revived	възкръсвам | съживявам се
蘖	げつ	ひこばえ	Sprout	филиз | издънка
蘗	はく びゃく	きはだ きわだ	Stump | Sprout	пън | филиз
蘘	にょう しょう そう のう	みようが	Kind Of Wild Ginger	вид див джинджифил
蘚	せん	こけ	Moss	мъх
蘞	れん けん こん	やぶからし	Wild Vine | Vitis Pentaphylla	дива лоза
蘢	ろう		Dragon Grass	драконова трева?
蘤			Flower | Blossoms	цвете | цвят
